Const,Title,imdb_genres
tt0398165,The Longest Yard,"Comedy, Crime, Sport"
tt0829150,Dracula Untold,"Action, Drama, Fantasy"
tt3393786,Jack Reacher: Never Go Back,"Action, Thriller"
tt1504320,The King's Speech,"Biography, Drama, History"
tt0116151,Dunston Checks In,"Adventure, Comedy, Family"
tt0100405,Pretty Woman,"Comedy, Romance"
tt1980929,Begin Again,"Comedy, Drama, Music"
tt2404435,The Magnificent Seven,"Action, Adventure, Drama"
tt0101414,Beauty and the Beast,"Animation, Family, Fantasy"
tt2771200,Beauty and the Beast,"Adventure, Family, Fantasy"
tt0119567,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi"
tt0163025,Jurassic Park III,"Action, Adventure, Sci-Fi"
tt6277440,The Bride of Badrinath,"Comedy, Drama, Romance"
tt0068646,The Godfather,"Crime, Drama"
tt1430132,The Wolverine,"Action, Sci-Fi"
tt4425200,John Wick: Chapter 2,"Action, Crime, Thriller"
tt1034303,Defiance,"Action, Drama, History"
tt4846340,Hidden Figures,"Biography, Drama, History"
tt3741834,Lion,"Biography, Drama"
tt0382383,Yuva,"Action, Drama, Thriller"
tt5310090,Irudhi Suttru,"Drama, Sport"
tt0083658,Blade Runner,"Action, Drama, Sci-Fi"
tt4136084,Florence Foster Jenkins,"Biography, Comedy, Drama"
tt5165344,Rustom,"Crime, Drama, Thriller"
tt0349205,Cheaper by the Dozen,"Comedy, Family"
tt4434004,Udta Punjab,"Crime, Drama"
tt0095953,Rain Man,Drama
tt3495026,Fan,"Action, Drama, Thriller"
tt1475582,Sherlock,"Crime, Drama, Mystery"
tt0449088,Pirates of the Caribbean: At World's End,"Action, Adventure, Fantasy"
tt0079700,The Passage,"Action, Drama, War"
tt3631112,The Girl on the Train,"Crime, Drama, Mystery"
tt0208092,Snatch,"Comedy, Crime"
tt0099685,GoodFellas,"Biography, Crime, Drama"
tt0166924,Mulholland Drive,"Drama, Mystery, Thriller"
tt3521164,Moana,"Animation, Adventure, Comedy"
tt0167404,The Sixth Sense,"Drama, Mystery, Thriller"
tt0217869,Unbreakable,"Drama, Mystery, Sci-Fi"
tt1355644,Passengers,"Drama, Romance, Sci-Fi"
tt2556308,Holiday,"Action, Crime, Thriller"
tt3748528,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi"
tt1690953,Despicable Me 2,"Animation, Adventure, Comedy"
tt3110958,Now You See Me 2,"Action, Adventure, Comedy"
tt2510894,Hotel Transylvania 2,"Animation, Adventure, Comedy"
tt0837562,Hotel Transylvania,"Animation, Comedy, Family"
tt0838221,The Darjeeling Limited,"Adventure, Comedy, Drama"
tt0378072,Hum Tum,"Comedy, Drama, Romance"
tt1628033,Top Gear,"Adventure, Comedy, Sport"
tt3183660,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy"
tt0887883,Burn After Reading,"Comedy, Crime, Drama"
tt2660888,Star Trek Beyond,"Action, Adventure, Sci-Fi"
tt2543164,Arrival,"Drama, Mystery, Sci-Fi"
tt1408101,Star Trek Into Darkness,"Action, Adventure, Sci-Fi"
tt0094525,Poirot,"Crime, Drama, Mystery"
tt0796366,Star Trek,"Action, Adventure, Sci-Fi"
tt0488414,Omkara,"Action, Crime, Drama"
tt0408839,The Heartbreak Kid,"Comedy, Romance"
tt2905838,Bang Bang,"Action, Adventure, Comedy"
tt1211837,Doctor Strange,"Action, Adventure, Fantasy"
tt3062096,Inferno,"Action, Adventure, Crime"
tt2707408,Narcos,"Biography, Crime, Drama"
tt2140479,The Accountant,"Action, Crime, Drama"
tt0292490,Dil Chahta Hai,"Comedy, Drama, Romance"
tt0092099,Top Gun,"Action, Drama"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy"
tt0250494,Legally Blonde,"Comedy, Romance"
tt2005151,War Dogs,"Biography, Comedy, Crime"
tt0320691,Underworld,"Action, Fantasy, Thriller"
tt0337563,13 Going on 30,"Comedy, Fantasy, Romance"
tt4651520,Bad Moms,Comedy
tt1323594,Despicable Me,"Animation, Adventure, Comedy"
tt0808146,American Pie Presents: The Naked Mile,Comedy
tt0903747,Breaking Bad,"Crime, Drama, Thriller"
tt1489889,Central Intelligence,"Action, Comedy, Crime"
tt2277860,Finding Dory,"Animation, Adventure, Comedy"
tt0472399,The Mechanic,"Action, Crime, Thriller"
tt2170439,Horrible Bosses 2,"Comedy, Crime"
tt1499658,Horrible Bosses,"Comedy, Crime"
tt0109831,Four Weddings and a Funeral,"Comedy, Drama, Romance"
tt2911666,John Wick,"Action, Crime, Thriller"
tt0081163,The Mirror Crack'd,"Crime, Mystery, Thriller"
tt2381111,Brooklyn,"Drama, Romance"
tt0097165,Dead Poets Society,"Comedy, Drama"
tt0119488,L.A. Confidential,"Crime, Drama, Mystery"
tt0108160,Sleepless in Seattle,"Comedy, Drama, Romance"
tt0086250,Scarface,"Crime, Drama"
tt0758774,Body of Lies,"Action, Drama, Thriller"
tt1860213,Dirty Grandpa,Comedy
tt2719848,Everest,"Adventure, Biography, Drama"
tt1355683,Black Mass,"Biography, Crime, Drama"
tt0119174,The Game,"Drama, Mystery, Thriller"
tt3203606,Trumbo,"Biography, Drama"
tt0110357,The Lion King,"Animation, Adventure, Drama"
tt0107048,Groundhog Day,"Comedy, Drama, Fantasy"
tt0104952,My Cousin Vinny,"Comedy, Crime"
tt0840361,The Town,"Crime, Drama, Thriller"
tt0118715,The Big Lebowski,"Comedy, Crime"
tt4934950,Guilty,"Crime, Drama, Mystery"
tt4900716,Kapoor & Sons,"Comedy, Drama, Family"
tt2884018,Macbeth,"Drama, History, War"
tt3447364,Detective Byomkesh Bakshy!,"Crime, Drama, Mystery"
tt1431045,Deadpool,"Action, Comedy, Sci-Fi"
tt0120815,Saving Private Ryan,"Drama, War"
tt0367110,Swades,"Drama, Musical"
tt0169547,American Beauty,Drama
tt2361509,The Intern,"Comedy, Drama"
tt3076658,Creed,"Action, Drama, Sport"
tt4110568,Dil Dhadakne Do,"Comedy, Drama, Romance"
tt3173910,Hasee Toh Phasee,"Comedy, Romance"
tt1185420,Dostana,"Comedy, Drama, Romance"
tt1231583,Due Date,"Comedy, Drama"
tt0105323,Scent of a Woman,Drama
tt2379713,Spectre,"Action, Adventure, Thriller"
tt0993846,The Wolf of Wall Street,"Biography, Comedy, Crime"
tt2820852,Furious 7,"Action, Thriller"
tt0061722,The Graduate,"Comedy, Drama, Romance"
tt0099423,Die Hard 2,"Action, Thriller"
tt0362227,The Terminal,"Comedy, Drama, Romance"
tt0087469,Indiana Jones and the Temple of Doom,"Action, Adventure"
tt0122690,Ronin,"Action, Crime, Thriller"
tt1325004,The Twilight Saga: Eclipse,"Action, Adventure, Drama"
tt0316654,Spider-Man 2,"Action, Adventure, Sci-Fi"
tt0295297,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy"
tt1790885,Zero Dark Thirty,"Drama, History, Thriller"
