Const,Title,imdb_genres
tt5164432,"Love, Simon","Comedy, Drama, Romance"
tt0947798,Black Swan,"Drama, Thriller"
tt13640670,Man vs. Bee,"Short, Comedy, Family"
tt9783600,Spiderhead,"Action, Crime, Drama"
tt8466564,Obi-Wan Kenobi,"Action, Adventure, Sci-Fi"
tt2126355,San Andreas,"Action, Adventure, Thriller"
tt1483013,Oblivion,"Action, Adventure, Sci-Fi"
tt0104257,A Few Good Men,"Drama, Thriller"
tt13352968,"Good Luck to You, Leo Grande","Comedy, Drama"
tt2278388,The Grand Budapest Hotel,"Comedy, Drama"
tt0086200,Risky Business,"Comedy, Crime, Drama"
tt0098635,When Harry Met Sally...,"Comedy, Drama, Romance"
tt19704638,Our Father,"Documentary, Crime"
tt1745960,Top Gun: Maverick,"Action, Drama"
tt1434447,Rocket Singh: Salesman of the Year,"Comedy, Drama"
tt1877830,The Batman,"Action, Crime, Drama"
tt10234724,Moon Knight,"Action, Adventure, Fantasy"
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy"
tt7126948,Wonder Woman 1984,"Action, Adventure, Fantasy"
tt6111574,The Woman in the Window,"Crime, Drama, Mystery"
tt0111161,The Shawshank Redemption,Drama
tt0286716,Hulk,"Action, Sci-Fi"
tt0800080,The Incredible Hulk,"Action, Adventure, Sci-Fi"
tt9059760,Normal People,"Drama, Romance"
tt3397884,Sicario,"Action, Crime, Drama"
tt13403046,Fresh,"Comedy, Horror, Romance"
tt10366460,CODA,"Comedy, Drama, Music"
tt11286314,Don't Look Up,"Comedy, Drama, Sci-Fi"
tt11271038,Licorice Pizza,"Comedy, Drama, Romance"
tt1905041,Fast & Furious 6,"Action, Thriller"
tt0405159,Million Dollar Baby,"Drama, Sport"
tt5433138,F9: The Fast Saga,"Action, Crime, Thriller"
tt2180339,Deep Water,"Crime, Drama, Mystery"
tt3526078,Schitt's Creek,Comedy
tt0332280,The Notebook,"Drama, Romance"
tt5555260,This Is Us,"Comedy, Drama, Romance"
tt1160419,Dune: Part One,"Action, Adventure, Drama"
tt2463208,The Adam Project,"Action, Adventure, Comedy"
tt12801262,Luca,"Animation, Adventure, Comedy"
tt8097030,Turning Red,"Animation, Adventure, Comedy"
tt6856242,The King's Man,"Action, Adventure, Thriller"
tt12789558,Belfast,"Biography, Drama"
tt11893274,Downfall: The Case Against Boeing,Documentary
tt3581652,West Side Story,"Crime, Drama, Musical"
tt2674426,Me Before You,"Drama, Romance"
tt5096470,Love Wedding Repeat,"Comedy, Romance"
tt1618434,Murder Mystery,"Crime, Mystery, Romance"
tt2442560,Peaky Blinders,"Crime, Drama"
tt7657566,Death on the Nile,"Crime, Drama, Mystery"
tt10293406,The Power of the Dog,"Drama, Western"
tt2953050,Encanto,"Animation, Comedy, Family"
tt8106534,6 Underground,"Action, Thriller"
tt9421570,The Guilty,"Crime, Drama, Thriller"
